区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,青年湖北里 ,2室1厅,98.71,1035,104853,房本满五年,南北,精装,有电梯,中楼层(共10层)1997年建板塔结合,,-
东城,万国城MOMA ,2室2厅,127.31,1350,106041,,西北,精装,有电梯,高楼层(共25层)2002年建塔楼,,-
东城,西营房 ,1室1厅,57.26,468,81733,,西,精装,有电梯,低楼层(共19层)2006年建塔楼,,-
东城,悠胜美苑 ,1室1厅,70.17,495,70543,,东北,精装,有电梯,顶层(共20层)2003年建板塔结合,,-
东城,本家润园三期 ,1室1厅,50.86,468,92018,,北,其他,有电梯,中楼层(共18层)2005年建板塔结合,,-
东城,花市枣苑三期 ,2室1厅,112.15,1160,103433,,西,精装,有电梯,中楼层(共18层)2005年建塔楼,,-
东城,青年湖东里 ,3室1厅,59.13,555,93861,,南北,简装,无电梯,底层(共5层)1980年建板楼,,-
东城,革新里小区 ,1室1厅,41.17,290,70440,,南,其他,无电梯,高楼层(共6层)1987年建板楼,,-
东城,民安小区东直门内北小街 ,4室2厅,142.18,1260,88621,,东,简装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,广渠家园 ,2室2厅,71.27,580,81381,房本满五年,东,精装,有电梯,低楼层(共29层)2009年建板塔结合,,-
东城,官书院 ,6室2厅,231.24,1850,80004,房本满五年,南北,精装,无电梯,底层(共6层)2000年建板楼,,-
东城,新景家园东区 ,1室1厅,58.05,635,109389,房本满五年,南,精装,有电梯,低楼层(共16层)2005年建板塔结合,,-
东城,富贵园四区 ,1室1厅,55.73,613,109995,房本满五年,西,简装,有电梯,高楼层(共10层)2006年建板塔结合,,-
东城,香河园街 ,3室1厅,80.95,680,84003,房本满五年,西北,精装,有电梯,中楼层(共16层)1990年建塔楼,,-
东城,化工大院 ,3室1厅,96.26,920,95575,房本满五年,南北,精装,无电梯,高楼层(共7层)1998年建板楼,,-
东城,豆瓣胡同 ,3室1厅,108.14,1500,138710,房本满五年,东南,精装,有电梯,中楼层(共10层)2003年建板楼,,-
东城,冠城名敦道 ,1室0厅,68.19,518,75965,房本满五年,东,精装,有电梯,低楼层(共23层)2009年建塔楼,,-
东城,甘雨胡同33号院 ,3室1厅,82.4,1030,125000,房本满五年,南北,简装,无电梯,中楼层(共6层)1989年建板楼,,-
东城,花市枣苑三期 ,2室1厅,103.01,980,95137,房本满五年,东北,精装,无,顶层(共18层)2004年建塔楼,,-
东城,光明西里 ,2室0厅,50.36,510,101271,房本满五年,东,简装,无电梯,顶层(共5层)1979年建板楼,,-
东城,营房西街 ,2室1厅,58.17,550,94551,房本满五年,南北,精装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,保利蔷薇 ,1室1厅,60.66,600,98912,房本满五年,北,精装,无,中楼层(共16层)2008年建板塔结合,,-
东城,朝阳门内大街75号院 ,3室1厅,114.49,1362,118963,房本满五年,东南,精装,无电梯,中楼层(共5层)1990年建板楼,,-
东城,东花市北里中区 ,2室1厅,69,540,78261,房本满五年,东,简装,无电梯,中楼层(共6层)1994年建塔楼,,-
东城,东花市北里中区 ,4室3厅,184.3,1350,73251,房本满五年,东南北,简装,无电梯,顶层(共5层)1994年建板楼,,-
东城,花市枣苑二期 ,1室1厅,72.74,756,103932,房本满五年,西,简装,有电梯,低楼层(共17层)2004年建塔楼,,-
东城,西革新里124号 ,2室1厅,57.38,355,61869,房本满五年,东西,简装,无电梯,顶层(共6层)1981年建板楼,,-
东城,建国门北大街 ,2室1厅,68.84,750,108949,房本满五年,东南东北,简装,有电梯,中楼层(共17层)1990年建塔楼,,-
东城,西营房 ,1室1厅,55.75,529,94888,房本满五年,西南,精装,有电梯,中楼层(共19层)2005年建塔楼,,-
东城,华府景园 ,3室1厅,173.4,1700,98040,房本满五年,东南西,精装,有电梯,中楼层(共16层)2001年建塔楼,,-
东城,青年湖东里 ,2室1厅,63.79,585,91708,房本满五年,南,精装,有电梯,中楼层(共18层)1988年建塔楼,,-
东城,广渠门内大街 ,2室1厅,53.18,530,99662,房本满五年,南北,简装,有电梯,中楼层(共12层)1980年建板塔结合,,-
